domain,dataset,file_path,file_name,sensor,channel_key,fault_type,fault_size,load,orientation,rpm,sample_rate,original_sample_rate,resample_factor,signal_length,duration_seconds,mean,std,rms,variance,abs_mean,peak,peak_to_peak,crest_factor,impulse_factor,clearance_factor,shape_factor,kurtosis_factor,skewness,kurtosis,entropy,zero_crossing_rate,signal_energy,spectral_centroid,spectral_spread,spectral_entropy,dominant_frequency,spectral_bandwidth,band_energy_0_300,band_energy_300_600,band_energy_600_1200,band_energy_1200_2400,band_energy_2400_6000,cum_energy_upto_1x,cum_energy_upto_2x,cum_energy_upto_3x,spectral_skewness,spectral_kurtosis,envelope_mean,envelope_std,envelope_peak,envelope_crest_factor,envelope_spectral_centroid
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,B007_0.mat,DE,X118_DE_time,B,0.007,0.0,,1796.0,12000.0,12000.0,1.0,96000,8.0,0.0001438011957519599,0.13779018685383246,0.13779026189102755,0.018986135593214062,0.11009269191587705,0.6196271283792647,1.199096127744511,4.496886208615391,5.6282312440205216,6.6420011737128855,1.2515840923965644,2.9588067370830027,-0.006780594356172541,-0.041165047072290406,3.4146400493822586,0.5060677715392868,1822.6710021118042,2998.6824189388417,741.8097952481622,7.484992264203202,1436.75,1729.136967871042,0.006799055885093018,0.02417371860950955,0.035713780685598336,0.029217400318991935,0.9040960443670374,0.00010999721814304995,0.00011710441550362326,0.00012706002294284502,-2.3634467863952557,8.11899634960354,0.17282472806032767,0.09002169313457682,0.6473245409811946,3.3219161565800093,82.33662656279277
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0007/B007_1.mat,B007_1.mat,DE,X119_DE_time,B,0.007,1.0,,1772.0,12000.0,12000.0,1.0,96000,8.0,-7.31172759162077e-05,0.13885010042682341,0.1388501196782883,0.019279350388538948,0.11106979968189415,0.6635408970738204,1.2993186027944112,4.7788284130487275,5.974089257153728,7.039745227777098,1.2501158737654834,2.9710299217371907,0.007698335446446879,-0.02895387881883371,3.342134339618335,0.5165991312409505,1850.8181505287985,3058.588329202546,680.4293022604812,7.292256939443473,3478.0,799.3060646434487,0.007658338463197028,0.02086230266021923,0.029214796674791307,0.013284353380108905,0.9289802087905055,7.558988290626631e-06,1.6072826418078126e-05,2.3081312733449005e-05,-2.728173021032945,10.543864490148428,0.17453578118341526,0.0899775928195924,0.6817964599278092,3.4721103211288704,73.45731650174372
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0007/B007_2.mat,B007_2.mat,DE,X120_DE_time,B,0.007,2.0,,1748.0,12000.0,12000.0,1.0,96000,8.0,-5.491240066071373e-05,0.14750608298769208,0.14750609320886934,0.021758044518371905,0.11845863686130376,0.6000194379078888,1.1594619560878243,4.06776035386049,5.065223218889614,5.960643758559462,1.2452118065614375,2.8493007996225006,0.03386004419883734,-0.15064882154690995,3.5157308527069864,0.5227241950436984,2088.7725632393904,3099.043464752361,659.1970605872268,6.226295931911274,3431.875,738.4562245266407,0.005271053147532714,0.013091242073654143,0.03372934122928266,0.01770556075497088,0.9302028027939532,4.65673524245863e-06,1.2656320783510268e-05,1.789951106790732e-05,-2.7923764406387153,10.874899972986574,0.1860900936913132,0.09426860072191176,0.6345056618540932,3.041659242547564,69.33995921117135
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0007/B007_3.mat,B007_3.mat,DE,X121_DE_time,B,0.007,3.0,,1722.0,12000.0,12000.0,1.0,96000,8.0,-4.247563542849625e-05,0.15410751479769783,0.15410752065133698,0.02374912611712265,0.12355470802818111,0.7247619405123412,1.3920690618762475,4.702962823936999,5.865919252118124,6.910110376455782,1.2472816545055265,2.9012433556909674,0.018633716256972,-0.0987361157616986,3.3771306163660633,0.5063073573683059,2279.916280445016,2985.560738545155,753.4632938179703,7.280769394362569,1382.5,1771.301969342315,0.006056707099995326,0.012456415099023278,0.0455292874091503,0.05052370981224448,0.8854338805561168,3.03523787429558e-06,1.3154949533256137e-05,1.6766169564791528e-05,-2.1455711678945972,6.811291043716672,0.19411748351899474,0.09907904233690902,0.7292724261769628,3.346192875567958,86.1683201920307
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0014/B014_0.mat,B014_0.mat,DE,X185_DE_time,B,0.014,0.0,,1796.0,12000.0,12000.0,1.0,96000,8.0,-5.6534574718572616e-05,0.14751519995635212,0.14751521078966973,0.02176073421816255,0.0964873583722518,2.2734648468416156,4.241668542914172,15.411731676153515,23.56230790432156,29.842547647645908,1.5288553161601812,20.80573243968296,0.27431091432454224,17.806158184177463,2.060489307764172,0.4185460265211096,2089.030791774786,2735.8097558244604,932.687112222573,8.369559893278685,1437.0,1599.0034493805435,0.006925592632584903,0.07195696898443778,0.04613923095927378,0.04812607073522504,0.8268521366846893,3.06885035591183e-05,4.2420166158508614e-05,4.45336085820693e-05,-1.5836200713554927,4.254934133367536,0.15140448926786204,0.14352056389932366,2.4218270021470936,11.608906971598282,128.90663571418511
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0014/B014_1.mat,B014_1.mat,DE,X186_DE_time,B,0.014,1.0,,1772.0,12000.0,12000.0,1.0,96000,8.0,-2.0499069393389362e-05,0.1413057623275622,0.14130576381445076,0.019967318466973496,0.09820346348371141,1.335240041973105,2.643631736526946,9.449296376377221,13.596669553254356,17.032194533739357,1.4389081484675796,9.077094676438813,0.01714339467314072,6.07710488011611,2.553316640487867,0.4217231429494057,1916.8626131697927,2781.929233155582,943.4141566398716,8.113448629327756,360.0,2599.1866961344094,0.006234100399413864,0.09476835778212753,0.029073643832497987,0.013591621612698265,0.8563322763672329,1.8720936680084343e-05,2.903356926679924e-05,3.0406634496182737e-05,-1.8301095826559464,5.030821832744876,0.1541077293046914,0.1272220308069738,1.4224156976097375,7.117896422500102,120.10991609407223
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0014/B014_2.mat,B014_2.mat,DE,X187_DE_time,B,0.014,2.0,,1749.0,12000.0,12000.0,1.0,96000,8.0,-4.450871810110668e-05,0.14755633563395226,0.14755634234673057,0.021772872185719567,0.1034463307166035,1.8345112187049695,3.2248246307385227,12.43261515926033,17.73394190008253,22.169369177746542,1.426404796811679,9.95528679609884,0.153554500997475,6.955473333756357,2.411780822529066,0.42070229898228106,2090.1959200075735,2688.5970403686774,969.6966619693352,8.277714691311386,359.875,2522.5498919809947,0.006740932583986257,0.09968482838527706,0.029786346862384367,0.042164351409119664,0.8216235403423795,1.1634236275436578e-05,2.095869031547221e-05,2.229300904476863e-05,-1.5385342734041496,4.088488063654044,0.162591424595558,0.13080433859744123,1.9831538992481759,9.503499341041985,127.59805643101097
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0014/B014_3.mat,B014_3.mat,DE,X188_DE_time,B,0.014,3.0,,1724.0,12000.0,12000.0,1.0,96000,8.0,1.2020254461359561e-05,0.13886220809922117,0.13886220861947257,0.01928271283819141,0.09458016223751758,1.9846451308495212,3.7020590419161676,14.292190442455741,20.983735742232234,26.23324440529433,1.4681959232714172,15.090461205686827,0.18842417447917,12.090396145034962,2.178108153161098,0.37676434129522185,1851.140446337081,2582.7894650341236,1011.7669003028321,7.959527738989322,1383.625,1568.970259357703,0.007390201212595989,0.08481638689705968,0.043877452373430194,0.11485255095328559,0.7490634085605992,3.957209714213042e-06,1.408080030898472e-05,1.5841753130262344e-05,-1.14589014626127,2.954667394931578,0.14877845665324727,0.12818110881373254,2.0017523968172264,10.193217512257279,136.25302415259938
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0021/B021_0.mat,B021_0.mat,DE,X222_DE_time,B,0.021,0.0,,1796.0,12000.0,12000.0,1.0,96000,8.0,0.0007516507848186015,0.1384696592376684,0.13847169930458111,0.01917384652939601,0.10198255413378744,1.6392407790679757,3.277453612774451,11.838092457162068,16.073737248407326,19.53145537414302,1.357797914366067,9.026656630712226,0.02978519876168406,6.0263650736023,2.368730800195207,0.4952030750320316,1840.7435047966396,3010.3455024322234,796.0592301548513,7.257111387265341,3208.0,820.2302105650002,0.01321831469750579,0.024617682257626963,0.030249817475866844,0.03176212845218765,0.9001520566412242,0.006853864162532475,0.0068743398938392025,0.006877593979351836,-1.965369232795392,7.500263064724751,0.1602192895397337,0.11259679077361671,1.724932446557355,8.808445488264065,97.36376446246852
source,12kHz_DE_data,数据集/源域数据集/12kHz_DE_data/B/0021/B021_1.mat,B021_1.mat,DE,X223_DE_time,B,0.021,1.0,,1774.0,12000.0,12000.0,1.0,96000,8.0,6.023228024714816e-05,0.12340460927235733,0.12340462397167605,0.01522869758966318,0.09199327039026588,1.4704485493111852,2.8882590419161676,11.915668165308652,15.98430562445553,19.285564628015642,1.3414527328809251,8.942298722630257,0.002018225075018041,5.942297613610535,2.3854031445613266,0.5063698580193544,1461.9553168887132,3039.137793707934,807.6351720867632,7.6059893036855115,3385.875,878.9205091581613,0.007889738646387699,0.0357144724682345,0.03244652489078355,0.018732700564632138,0.9052165631857007,1.0352717298205689e-05,2.14350494233006e-05,2.3643716302007943e-05,-1.9867258482712216,7.653515044224962,0.144520467195979,0.09783268046440313,1.5115371889001317,8.661087612201648,97.22394094041425
