path,domain,dataset,sensor,fault_type,fault_size,load,orientation,sample_rate
数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,source,12kHz_DE_data,DE,B,0.007,0.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0007/B007_1.mat,source,12kHz_DE_data,DE,B,0.007,1.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0007/B007_2.mat,source,12kHz_DE_data,DE,B,0.007,2.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0007/B007_3.mat,source,12kHz_DE_data,DE,B,0.007,3.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0014/B014_0.mat,source,12kHz_DE_data,DE,B,0.014,0.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0014/B014_1.mat,source,12kHz_DE_data,DE,B,0.014,1.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0014/B014_2.mat,source,12kHz_DE_data,DE,B,0.014,2.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0014/B014_3.mat,source,12kHz_DE_data,DE,B,0.014,3.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0021/B021_0.mat,source,12kHz_DE_data,DE,B,0.021,0.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0021/B021_1.mat,source,12kHz_DE_data,DE,B,0.021,1.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0021/B021_2.mat,source,12kHz_DE_data,DE,B,0.021,2.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0021/B021_3.mat,source,12kHz_DE_data,DE,B,0.021,3.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0028/B028_0_(1797rpm).mat,source,12kHz_DE_data,DE,B,0.028,0.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0028/B028_1_(1772rpm).mat,source,12kHz_DE_data,DE,B,0.028,1.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0028/B028_2_(1750rpm).mat,source,12kHz_DE_data,DE,B,0.028,2.0,,12000.0
数据集/源域数据集/12kHz_DE_data/B/0028/B028_3_(1730rpm).mat,source,12kHz_DE_data,DE,B,0.028,3.0,,12000.0
数据集/源域数据集/12kHz_DE_data/IR/0007/IR007_0.mat,source,12kHz_DE_data,DE,IR,0.007,0.0,,12000.0
数据集/源域数据集/12kHz_DE_data/IR/0007/IR007_1.mat,source,12kHz_DE_data,DE,IR,0.007,1.0,,12000.0
